File name, HGS, Hill Climbing
ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12.txt, 353499, 359653
ORTEC-VRPTW-ASYM-01829532-d1-n324-k22.txt, 726208, 1328705
ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20.txt, 448859, 454021
ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18.txt, 418223, 447167
ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20.txt, 362638, 371527
ORTEC-VRPTW-ASYM-08d8e660-d1-n460-k42.txt, 391376, 401877
ORTEC-VRPTW-ASYM-0bdff870-d1-n458-k35.txt, 511092, 514397
ORTEC-VRPTW-ASYM-0dc59ef2-d1-n213-k25.txt, 432234, 449283
ORTEC-VRPTW-ASYM-11527044-d1-n470-k27.txt, 537544, 547455
ORTEC-VRPTW-ASYM-13db18b2-d1-n310-k20.txt, 907453, 1373607
ORTEC-VRPTW-ASYM-152bab99-d1-n215-k20.txt, 393512, 652106
ORTEC-VRPTW-ASYM-16b82253-d1-n457-k30.txt, 452731, 463311
ORTEC-VRPTW-ASYM-19eafe1e-d1-n458-k35.txt, 440552, 446034
ORTEC-VRPTW-ASYM-1a452a2c-d1-n391-k23.txt, 558446, 766251
ORTEC-VRPTW-ASYM-1bc16246-d1-n503-k43.txt, 470283, 697353
ORTEC-VRPTW-ASYM-1bdf25a7-d1-n531-k43.txt, 469301, 474392
ORTEC-VRPTW-ASYM-1cd538a9-d1-n400-k25.txt, 508561, 516664
ORTEC-VRPTW-ASYM-1de83915-d1-n262-k15.txt, 277923, 286402
ORTEC-VRPTW-ASYM-1f1fffc4-d1-n332-k25.txt, 281265, 290333
ORTEC-VRPTW-ASYM-21e8376e-d1-n507-k30.txt, 453249, 464728
